REFERENCIA;ITEM;DESCRICAO;VALIDADE;DATA;PRECO1;PRECO2;PRECO3;PRECO4
9023;SAIA;SA ARLANDA;INVERNO 2015;04/03/2015;49,9;56,9;84,9;0
9024;VESTIDO;VE ARLETE;INVERNO 2015;03/02/2015;149,9;171,9;258,9;0
9025;VESTIDO;VE ARLINDA;VERAO 2015;16/01/2015;129,9;148,9;223,9;0
9026;VESTIDO;VE ARMANDA;INVERNO 2015;16/01/2015;74,9;84,9;127,9;0
9027;VESTIDO;VE ARMANDINA;INVERNO 2015;28/01/2015;109,9;125,9;189,9;0
9028;VESTIDO;VE ARMENIA;INVERNO 2015;27/01/2005;74,9;84,9;127,9;0
9029;BLUSA;BL ARMINDA;INVERNO 2015;27/01/2015;54,9;62,9;94,9;0
9030;CALCA;CAL ARTEMISA;INVERNO 2015;27/01/2005;55,9;63,9;95,9;0
9031;VESTIDO;VE ARTEMISA;INVERNO 2015;20/01/2015;149,9;171,9;258,9;0
9032;VESTIDO;VE ARUNA;INVERNO 2015;28/01/2015;74,9;84,9;127,9;0
9033;VESTIDO;VE ASIA;INVERNO 2015;04/02/2015;74,9;84,9;127,9;0
9034;BLUSA;BL ASPASIA;INVERNO 2015;06/02/2015;54,9;62,9;94,9;0
